Region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific,522.624813227478,533.9372544667455,544.9512222280632,592.1456068016598,634.7900043722049,796.3165054223864,849.7090278077516,804.3739003373763,858.9093663702922,920.1058291768093,1039.453229795044,1101.8611603239028,1289.3192170606007,1652.499071840724,2213.82133599002,2373.41669956983,2556.3819552663504,2830.2667691825236,3255.2453965940044,3726.437137566726,4579.226784598014,4184.6151227517585,4008.2200375605007,3760.110259731033,3798.111316616856,3621.4311692221486,3902.3061177294603,4486.0401690457675,5139.74545707528,5468.897847732188,5753.788057493264,6170.058629722943,6675.66329203755,6895.790204469234,7421.980761794473,8293.1665663659,8394.577759333242,8160.589386597141,7190.686920208272,7403.758270888737,7189.066888676702,6372.197874403436,7563.450615362948,8152.671838900032,9173.714706750236,9891.049369942586,10520.66984544032,11323.312161471884,12284.152120378523,11517.670361701812,13298.665823746847,15332.88524103546,16332.05761231425,16684.012117798484,16763.902822874214,15434.630572092829,15517.72999567077,16482.449989188757,16510.399708486286
Europe & Central Asia,1150.2927898169883,1218.4205677377704,1311.6859864032378,1421.599902102249,1590.5036506530432,1730.0670628684209,1873.1898366648047,1974.3529307654203,2013.470537670812,2192.322483590795,2992.4374247248124,3346.453547586901,4020.7633689384934,5168.825169656526,5917.212210345265,6623.511951328061,7022.225812027564,7894.643000229604,9553.52508351925,11351.073365193386,12533.408592737058,11248.757325169761,10754.222047310279,10274.520485556728,9576.113736016603,9909.45502584515,13539.992496123516,15199.808419577848,16295.545182135114,16399.023894382888,14591.642100539324,14471.483295107126,15390.285472947136,14230.368638510885,14905.84401880533,15717.958881394647,15973.593565074374,14977.95708432396,16165.030411790893,16929.67148112844,15500.422309984791,15643.245275496063,17121.974533431643,20801.647594286318,24042.041457123858,25469.913711130946,27580.900675978613,32514.093268648354,34807.44400165373,30594.573081844694,30908.387551738262,33909.944243497055,32089.48065513926,34107.082512741814,35082.975615987976,30850.869560664258,31238.590240697904,28329.985460042255,27159.064196486604
Latin America & Caribbean,396.67386567142967,415.12729395544346,466.3994236050906,473.59012189712513,509.9946275890169,516.0019972867598,545.009018931149,562.8771513508772,581.8560925290116,638.4069765792058,671.8361605556429,729.4490110074113,780.3500425589184,932.5249858208214,1113.7532942615414,1142.1521317473837,1208.1704021442263,1310.8072675411477,1457.986173371664,1716.5017671096075,2041.827628199242,2211.4403608747957,2210.2414660264917,2167.4538517973883,2222.036191786093,2245.2272357034717,2419.749023256038,2599.7708696210084,2818.424576008615,2911.151532054585,3187.430901664384,3411.047729062401,3549.8162572406454,3733.9247899666075,4042.2756508876087,4253.315416941225,4427.966394384101,4975.467121243819,5224.173178034598,5302.7534121692615,5566.045622468385,5927.601500241075,6443.063607119659,6625.743912055981,7207.726051237445,9063.4837703145,10754.184427209628,9631.692280242336,10278.371621710208,9627.737157359581,10246.63800949988,11052.646899142324,11319.298501571113,11484.794785456012,11738.649036091663,11611.104310713483,11579.845692049816,13105.703282075308,10029.99666361638
Middle East & North Africa,375.08801560948194,408.70414547838965,355.66533295458163,396.43325129761735,430.3776694024013,784.4235746868083,804.1859809090613,774.2445522356875,761.4993503244423,788.9264132520601,972.190295561554,1109.5507414884155,1295.0566678281787,1640.163781978446,3538.7696348194804,5026.32833997617,5736.632779599715,6228.56387068301,6070.980353071728,7774.571008450052,9636.229820347668,9646.322706098234,8501.09070714354,7576.864401631063,7246.510731915234,6349.422122114621,5765.304850129766,5688.335413280387,5459.903630705959,5631.860071447181,6169.089200900738,5974.0327544693855,6264.41436907354,5760.922873964026,5667.146289277417,6603.253194563164,7127.044988690356,7375.9808083367725,6822.907285885913,7303.43431286619,8543.900286387678,8134.988181447477,8143.974042162849,9038.354758718891,9870.98120282827,11486.775661913587,12856.481310654008,14072.753337277685,17481.9520552189,13877.869219597287,15238.238677331776,17294.100110578423,18233.01093846489,18262.322061893457,17914.787433616926,14890.415133954486,14428.03315312017,15315.01009215833,17209.97408553724
North America,2454.7627821505102,2434.1747703579003,2522.410576114687,2601.767681015857,2789.1812133370263,2974.0451299818196,3290.1672517194907,3528.3813347129894,3680.441402179926,3968.96860333868,4247.834067577707,4665.28194347463,5175.593115459381,5858.10451612899,6704.21165938395,7274.03399095598,8220.932123863096,8914.140164359547,9521.835074552,10443.743383557117,11654.5244291883,13246.5176554129,13693.944602340634,14957.012196314334,16156.3227096447,16873.723668723065,17994.3203209182,19586.5679135235,21535.717183965735,23030.2358791428,24059.49390240453,24603.637238651103,24989.507121999835,25803.049959204498,26368.7659964872,27764.795314079467,32007.283106643434,33922.418565738335,35059.162418768035,36999.228592238134,38936.44234662427,39918.460986430095,41591.848684110904,44602.95639315996,48035.475972425476,52087.6562524299,56865.766399084765,61122.86523080986,62860.91918932722,58778.78493874893,61374.82313496087,62652.6894955573,63201.4331447168,63786.5436296009,52934.234588080595,50149.26341024105,50092.0513921139,52498.92854419295,54425.7810963582
South Asia,84.41356305085418,87.57974907565301,88.61843615920021,89.91748840212195,94.65827442849373,110.41774649571659,116.50982132110134,125.26160341061275,119.34931718535059,125.36351294967932,139.5101103644186,141.11640481801388,130.3581717305039,133.22530380422734,168.63591662509708,197.48011096424432,175.94848671428733,190.1806449161928,195.39996095633447,219.1622836571893,258.6800333035995,273.9018532663509,278.92544422825205,287.63247420545486,335.602879983298,349.5034877365309,368.3646176738246,387.2860969252524,424.58149594895247,431.3925996223972,461.37468849019933,464.8007397457089,490.00692320038667,509.5817281807962,551.1992986412769,606.8725466593052,653.6151145922433,702.5424453240139,717.5929700785173,748.3089020113946,779.6763289061006,895.7090851109651,822.5261606256265,928.5994916278105,1041.649563648669,1075.770308879893,1296.9089109070696,1531.1707304445458,1748.0688173653703,1783.7276589402686,2056.5433695970173,2236.6405160574654,2260.1204586043577,2383.0251574128247,2546.1426162801677,2661.1010167071186,2750.7118920290686,2970.772733026197,3052.478260767464
Sub-Saharan Africa,141.32695276114717,145.93769500378443,148.07793307055118,156.52559567039418,163.2916459404885,178.60398750897681,183.83466853676762,180.17735308931017,185.84261467446981,198.87186634562786,204.01168846571534,216.14046974676037,240.59159296942693,303.986246148626,388.29018189279196,446.41965026830377,492.81125124975046,517.9086099791972,556.0035668254491,665.713203273008,790.2841863296476,772.1738158831487,721.8441887425626,681.281248738864,639.0366993773808,608.047313400325,665.5741014274257,745.769134143329,788.4041620016757,796.1447726078895,922.6296316358591,938.8042244580755,942.0615909243512,896.669534574875,845.5923539737242,935.9795068984157,962.6416370594566,968.653289418353,922.0727223546496,939.5391610739425,947.2163804571953,919.3864247188098,963.9880322171541,1159.1822088073586,1410.6697418702754,1652.7405983881297,1828.736052411829,2064.2073761697593,2364.227614223021,2067.099001008112,2308.6632565580553,2663.7196635933396,2689.905601975813,2705.135008911447,2707.8937825044814,2283.7387067115524,2194.3317011973186,2407.446905719552,2507.3010903440972
